alpha,beta,gamma,auroc_obs,auroc_patient
0.1,4.5,0.4,0.6476670011878023,0.731577050469434
0.1,4.5,0.5,0.6490998362207098,0.7341807081524325
0.1,4.5,0.6,0.6504608352365843,0.7370326125412904
0.1,4.5,0.7,0.6516155742706754,0.740190689046948
0.1,4.5,0.8,0.652308746653689,0.7439415357782825
0.1,4.5,0.9,0.6520250472694649,0.7485455776769474
0.1,4.5,1.0,0.6496673264628533,0.7542475519699933
0.1,5.0,0.1,0.6427155764316845,0.7185475158342794
0.1,5.0,0.2,0.6440519407046223,0.7208452680069566
0.1,5.0,0.3,0.6454475041399048,0.7233705303297897
0.1,5.0,0.4,0.6468826338302888,0.7260177768741186
0.1,5.0,0.5,0.648322944435058,0.728845140411478
0.1,5.0,0.6,0.6496947567447116,0.731947886605711
0.1,5.0,0.7,0.6508649956246977,0.7354234694391574
0.1,5.0,0.8,0.6515805133911926,0.7395505043249389
0.1,5.0,0.9,0.6513294410012549,0.7446392418023859
0.1,5.0,1.0,0.6490233550557296,0.7508982757499324
0.2,0.5,0.1,0.6570874081260814,0.8044583226002339
0.2,0.5,0.2,0.6583847004710037,0.8054541234122977
0.2,0.5,0.3,0.6597417712239603,0.8065247336815816
0.2,0.5,0.4,0.6611283203691496,0.8076464726907762
0.2,0.5,0.5,0.6625045033103764,0.8087581487941873
0.2,0.5,0.6,0.6637864006315035,0.8098144115197795
0.2,0.5,0.7,0.6648239991130116,0.8105984859036344
0.2,0.5,0.8,0.6653348015597362,0.8109655626366161
0.2,0.5,0.9,0.6647469257094358,0.8107071578956285
0.2,0.5,1.0,0.6618010859541198,0.8095999253098743
0.2,1.0,0.1,0.6556720901929403,0.7930979993697154
0.2,1.0,0.2,0.6569651308669522,0.7941165449133718
0.2,1.0,0.3,0.6583101369060784,0.7952198455116541
0.2,1.0,0.4,0.6596821107254871,0.7963548371990748
0.2,1.0,0.5,0.6610414476315687,0.7974848647150928
0.2,1.0,0.6,0.6623054777591231,0.798556135774489
0.2,1.0,0.7,0.6633231712593226,0.7994099800888937
0.2,1.0,0.8,0.6638139698867356,0.7999799105299807
0.2,1.0,0.9,0.6632104310777452,0.8000944734410123
0.2,1.0,1.0,0.6602689695689918,0.7997593963185835
0.2,1.5,0.1,0.6543092315158732,0.7810034744977786
0.2,1.5,0.2,0.655601650252171,0.7820740641149857
0.2,1.5,0.3,0.6569410213046728,0.7832537029967854
0.2,1.5,0.4,0.6583067962888672,0.7845150171397579
0.2,1.5,0.5,0.6596591464388528,0.7857756021995213
0.2,1.5,0.6,0.6609163071796619,0.787012813727303
0.2,1.5,0.7,0.6619295433741842,0.7881616344042339
0.2,1.5,0.8,0.6624198686283758,0.7891547092184981
0.2,1.5,0.9,0.6618249746956326,0.7899498355173927
0.2,1.5,1.0,0.6589179399478899,0.7906872202889962
0.2,2.0,0.1,0.6530093064069176,0.7692406916478118
0.2,2.0,0.2,0.6543048424394455,0.7704340059455443
0.2,2.0,0.3,0.6556452213642743,0.7717751304786001
0.2,2.0,0.4,0.6570121729893088,0.7732084782161144
0.2,2.0,0.5,0.658365646258978,0.7746793206581081
0.2,2.0,0.6,0.6596244615568945,0.7761748930650729
0.2,2.0,0.7,0.6606431457650926,0.7776909537065579
0.2,2.0,0.8,0.6611448693273512,0.779221455417776
0.2,2.0,0.9,0.6605731811919989,0.7808023973645452
0.2,2.0,1.0,0.6577164632026418,0.7826870232536766
0.2,2.5,0.1,0.6517929916880209,0.7583495172194911
0.2,2.5,0.2,0.6530883525574673,0.759693953948669
0.2,2.5,0.3,0.6544304943248609,0.7612181481491401
0.2,2.5,0.4,0.6558008174375365,0.7628326081494601
0.2,2.5,0.5,0.6571582021979427,0.7645368653269011
0.2,2.5,0.6,0.6584244051152894,0.7663295440088307
0.2,2.5,0.7,0.6594546211251264,0.7682385125887746
0.2,2.5,0.8,0.6599756809552767,0.7703486342680019
0.2,2.5,0.9,0.6594359868934375,0.7727671662758062
0.2,2.5,1.0,0.6566387868961882,0.775731149065952
0.2,3.0,0.1,0.6506469946082813,0.7484444076950301
0.2,3.0,0.2,0.6519452866512732,0.7499747134978221
0.2,3.0,0.3,0.6532915848329423,0.7516991855846995
0.2,3.0,0.4,0.6546671066979454,0.7535393341532821
0.2,3.0,0.5,0.6560315355185438,0.7554994905281514
0.2,3.0,0.6,0.657308229617596,0.757610764600903
0.2,3.0,0.7,0.6583541738328536,0.7599398289104687
0.2,3.0,0.8,0.6588992239032585,0.7626070670087777
0.2,3.0,0.9,0.6583973848854755,0.7657809467432426
0.2,3.0,1.0,0.6556650205830622,0.7697172794349868
0.2,3.5,0.1,0.6495766854262423,0.7396220441117551
0.2,3.5,0.2,0.6508781496646342,0.7413259429508494
0.2,3.5,0.3,0.6522286934099762,0.7432634743456328
0.2,3.5,0.4,0.6536109721843215,0.7453236584631506
0.2,3.5,0.5,0.6549841909390559,0.747550086531515
0.2,3.5,0.6,0.6562727886387286,0.7499917970027
0.2,3.5,0.7,0.6573358195840748,0.7526889275125905
0.2,3.5,0.8,0.6579071624252116,0.7558548750553624
0.2,3.5,0.9,0.6574451535799295,0.7597218741441699
0.2,3.5,1.0,0.6547786389401892,0.7645073717561682
0.2,4.0,0.1,0.6485639403431975,0.7317657223085493
0.2,4.0,0.2,0.6498697764482436,0.7336519684886289
0.2,4.0,0.3,0.6512267685313007,0.7357887443643231
0.2,4.0,0.4,0.6526168090446909,0.7380801477220995
0.2,4.0,0.5,0.6540004453013987,0.740569086859099
0.2,4.0,0.6,0.6553030887995891,0.7433073932966282
0.2,4.0,0.7,0.6563856769992484,0.7463531266650403
0.2,4.0,0.8,0.6569854429170527,0.7500127913085385
0.2,4.0,0.9,0.6565659330037712,0.7544655291061944
0.2,4.0,1.0,0.6539668492720379,0.7599798634768385
0.2,4.5,0.1,0.6476020971435068,0.7247620140933926
0.2,4.5,0.2,0.6489129922476098,0.726857907598696
0.2,4.5,0.3,0.6502776100040928,0.7292035522430375
0.2,4.5,0.4,0.6516768417877291,0.7317200917164766
0.2,4.5,0.5,0.6530725291885012,0.7344447981315142
0.2,4.5,0.6,0.6543910218868102,0.7374597262360079
0.2,4.5,0.7,0.6554953179313671,0.7408368016403242
0.2,4.5,0.8,0.6561255950125257,0.7448990343553048
0.2,4.5,0.9,0.6557501858580871,0.7498873608623773
0.2,4.5,1.0,0.6532194299685543,0.7560500251188806
0.2,5.0,0.1,0.6466920935666833,0.7185273610487269
0.2,5.0,0.2,0.6480086752148986,0.7208342995018762
0.2,5.0,0.3,0.6493810158350589,0.7234099729717529
0.2,5.0,0.4,0.6507896244318349,0.72614541400042
0.2,5.0,0.5,0.6521979098405141,0.7290857707764467
0.2,5.0,0.6,0.6535335905470252,0.7323398895174813
0.2,5.0,0.7,0.6546606010781234,0.7360236431099156
0.2,5.0,0.8,0.655322271291459,0.7404526493044608
0.2,5.0,0.9,0.6549911172333523,0.745913720670932
0.2,5.0,1.0,0.6525277175620402,0.75263743001286
0.3,0.5,0.1,0.6592481803619257,0.8044556048861693
0.3,0.5,0.2,0.66053668860508,0.8054599980692561
0.3,0.5,0.3,0.6618803686333218,0.8065636492184107
0.3,0.5,0.4,0.6632479651048084,0.8077472026422124
0.3,0.5,0.5,0.6645997120551289,0.8089635101072424
0.3,0.5,0.6,0.6658531000696737,0.8101802513804084
0.3,0.5,0.7,0.6668569880484972,0.8112266255785668
0.3,0.5,0.8,0.6673230581298495,0.8119426826335382
0.3,0.5,0.9,0.666666708927207,0.8120760702371195
0.3,0.5,1.0,0.663596635262156,0.8114065820121976
0.3,1.0,0.1,0.6577329495917099,0.7930953834272533
0.3,1.0,0.2,0.6590200580812109,0.7941294674255852
0.3,1.0,0.3,0.6603558914547364,0.7952744659413384
0.3,1.0,0.4,0.6617139754572035,0.7964822262714104
0.3,1.0,0.5,0.6630550080866177,0.7977226892988225
0.3,1.0,0.6,0.66429691434193,0.7989758805333255
