Value,Below normal - severe concern,Below normal - moderate concern,Below normal - mild concern,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
40.1,0.0,0.0,0.0,1.0802470029602773e-13,0.001362699066226325,0.26544510173164737,0.7331921992020183
40.2,0.0,0.0,0.0,1.1435297153639112e-14,0.0007520111537430152,0.21959056389599585,0.7796574249502497
40.3,0.0,0.0,0.0,1.1102230246251565e-15,0.000403054479078957,0.1784938092636036,0.8211031362573163
40.4,0.0,0.0,0.0,1.1102230246251565e-16,0.0002097749469002208,0.14252393133583152,0.8572662937172681
40.5,0.0,0.0,0.0,0.0,0.00010600721393505541,0.11176113555473766,0.8881328572313273
40.6,0.0,0.0,0.0,0.0,5.200633457880244e-05,0.08604329763971541,0.9139046960257058
40.7,0.0,0.0,0.0,0.0,2.476669820439259e-05,0.06502123465356613,0.9349539986482295
40.8,0.0,0.0,0.0,0.0,1.1447941752562585e-05,0.048216908045842,0.9517716440124054
40.9,0.0,0.0,0.0,0.0,5.1356382660960875e-06,0.03507921181962115,0.9649156525421128
41.0,0.0,0.0,0.0,0.0,2.2357997930821938e-06,0.025033047278892884,0.974964716921314
41.1,0.0,0.0,0.0,0.0,9.445168773769552e-07,0.01751882662931914,0.9824802288538035
41.2,0.0,0.0,0.0,0.0,3.87163574533389e-07,0.012021106654803715,0.9879785061816218
41.3,0.0,0.0,0.0,0.0,1.539782354953445e-07,0.008086474858730375,0.9919133711630341
41.4,0.0,0.0,0.0,0.0,5.941260949882121e-08,0.005331908579654265,0.9946680320077362
41.5,0.0,0.0,0.0,0.0,2.223969031156514e-08,0.003445512118801286,0.9965544656415084
41.6,0.0,0.0,0.0,0.0,8.075842883314976e-09,0.002181808765668869,0.9978181831584882
41.7,0.0,0.0,0.0,0.0,2.8446959232653057e-09,0.0013536934808057177,0.9986463036744984
41.8,0.0,0.0,0.0,0.0,9.719726135060114e-10,0.0008228449760476764,0.9991771540519797
41.9,0.0,0.0,0.0,0.0,3.221255484575636e-10,0.0004899671243394632,0.999510032553535
42.0,0.0,0.0,0.0,0.0,1.0354594959238739e-10,0.0002857773856912438,0.9997142225107628
42.1,0.0,0.0,0.0,0.0,3.22821769316306e-11,0.00016325434951036666,0.9998367456182075
42.2,0.0,0.0,0.0,0.0,9.761080832504376e-12,9.133653743242931e-05,0.9999086634528065
42.3,0.0,0.0,0.0,0.0,2.8623770020885786e-12,5.0042239728154136e-05,0.9999499577574095
42.4,0.0,0.0,0.0,0.0,8.140155216551648e-13,2.684808197306321e-05,0.9999731519172129
42.5,0.0,0.0,0.0,0.0,2.2448709557920665e-13,1.4104191659480847e-05,0.999985895808116
42.6,0.0,0.0,0.0,0.0,6.006306563222097e-14,7.254668733858161e-06,0.9999927453312061
42.7,0.0,0.0,0.0,0.0,1.554312234475219e-14,3.6534169735036315e-06,0.999996346583011
42.8,0.0,0.0,0.0,0.0,3.885780586188048e-15,1.8012442560833009e-06,0.99999819875574
42.9,0.0,0.0,0.0,0.0,9.992007221626409e-16,8.693979298701748e-07,0.9999991306020691
43.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,4.1078963863849793e-07,0.9999995892103611
43.1,0.0,0.0,0.0,0.0,0.0,1.9000224593668236e-07,0.9999998099977541
43.2,0.0,0.0,0.0,0.0,0.0,8.602426559978227e-08,0.9999999139757344
43.3,0.0,0.0,0.0,0.0,0.0,3.81234186441759e-08,0.9999999618765814
43.4,0.0,0.0,0.0,0.0,0.0,1.6537045066655764e-08,0.9999999834629549
43.5,0.0,0.0,0.0,0.0,0.0,7.02112390449372e-09,0.9999999929788761
43.6,0.0,0.0,0.0,0.0,0.0,2.9176034921363225e-09,0.9999999970823965
43.7,0.0,0.0,0.0,0.0,0.0,1.1866039262287131e-09,0.9999999988133961
43.8,0.0,0.0,0.0,0.0,0.0,4.723184066079966e-10,0.9999999995276816
43.9,0.0,0.0,0.0,0.0,0.0,1.8399404222435578e-10,0.999999999816006
44.0,0.0,0.0,0.0,0.0,0.0,7.014600011956418e-11,0.999999999929854
44.1,0.0,0.0,0.0,0.0,0.0,2.6171287359488815e-11,0.9999999999738287
44.2,0.0,0.0,0.0,0.0,0.0,9.555689572948722e-12,0.9999999999904443
44.3,0.0,0.0,0.0,0.0,0.0,3.414268867629744e-12,0.9999999999965857
44.4,0.0,0.0,0.0,0.0,0.0,1.1938228183794308e-12,0.9999999999988062
44.5,0.0,0.0,0.0,0.0,0.0,4.084510507595951e-13,0.9999999999995915
44.6,0.0,0.0,0.0,0.0,0.0,1.3677947663381929e-13,0.9999999999998632
44.7,0.0,0.0,0.0,0.0,0.0,4.4853010194856324e-14,0.9999999999999551
44.8,0.0,0.0,0.0,0.0,0.0,1.432187701766452e-14,0.9999999999999857
44.9,0.0,0.0,0.0,0.0,0.0,4.551914400963142e-15,0.9999999999999954
45.0,0.0,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.9999999999999987
