Value,Below normal - severe concern,Below normal - moderate concern,Below normal - mild concern,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
145,0.0,0.0,0.0,0.0,0.0,0.5164513974102252,0.4835486025897748
146,0.0,0.0,0.0,0.0,0.0,0.49980758599520203,0.500192414004798
147,0.0,0.0,0.0,0.0,0.0,0.4831637745801788,0.5168362254198212
148,0.0,0.0,0.0,0.0,0.0,0.46651996316515554,0.5334800368348445
149,0.0,0.0,0.0,0.0,0.0,0.4498761517501324,0.5501238482498676
150,0.0,0.0,0.0,0.0,0.0,0.43323234033510916,0.5667676596648908
151,0.0,0.0,0.0,0.0,0.0,0.4165885289200859,0.5834114710799141
152,0.0,0.0,0.0,0.0,0.0,0.3999447175050628,0.6000552824949372
153,0.0,0.0,0.0,0.0,0.0,0.38330090609003953,0.6166990939099605
154,0.0,0.0,0.0,0.0,0.0,0.3666570946750163,0.6333429053249837
155,0.0,0.0,0.0,0.0,0.0,0.35001328325999315,0.6499867167400069
156,0.0,0.0,0.0,0.0,0.0,0.3333694718449699,0.6666305281550301
157,0.0,0.0,0.0,0.0,0.0,0.31672566042994665,0.6832743395700533
158,0.0,0.0,0.0,0.0,0.0,0.3000818490149234,0.6999181509850766
159,0.0,0.0,0.0,0.0,0.0,0.28343803759990027,0.7165619624000997
160,0.0,0.0,0.0,0.0,0.0,0.266794226184877,0.733205773815123
161,0.0,0.0,0.0,0.0,0.0,0.2501504147698538,0.7498495852301462
162,0.0,0.0,0.0,0.0,0.0,0.23350660335483064,0.7664933966451694
163,0.0,0.0,0.0,0.0,0.0,0.2168627919398074,0.7831372080601926
164,0.0,0.0,0.0,0.0,0.0,0.20021898052478415,0.7997810194752158
165,0.0,0.0,0.0,0.0,0.0,0.1835751691097609,0.8164248308902391
166,0.0,0.0,0.0,0.0,0.0,0.16693135769473777,0.8330686423052622
167,0.0,0.0,0.0,0.0,0.0,0.15028754627971452,0.8497124537202855
168,0.0,0.0,0.0,0.0,0.0,0.13364373486469128,0.8663562651353087
169,0.0,0.0,0.0,0.0,0.0,0.11699992344966814,0.8830000765503319
170,0.0,0.0,0.0,0.0,0.0,0.1003561120346449,0.8996438879653551
171,0.0,0.0,0.0,0.0,0.0,0.08371230061962165,0.9162876993803784
172,0.0,0.0,0.0,0.0,0.0,0.06706848920459851,0.9329315107954015
173,0.0,0.0,0.0,0.0,0.0,0.05042467778957527,0.9495753222104247
174,0.0,0.0,0.0,0.0,0.0,0.03378086637455202,0.966219133625448
175,0.0,0.0,0.0,0.0,0.0,0.017137054959528775,0.9828629450404712
176,0.0,0.0,0.0,0.0,0.0,0.0004932435445056393,0.9995067564554944
177,0.0,0.0,0.0,0.0,0.0,0.0,1.0
178,0.0,0.0,0.0,0.0,0.0,0.0,1.0
179,0.0,0.0,0.0,0.0,0.0,0.0,1.0
180,0.0,0.0,0.0,0.0,0.0,0.0,1.0
181,0.0,0.0,0.0,0.0,0.0,0.0,1.0
182,0.0,0.0,0.0,0.0,0.0,0.0,1.0
183,0.0,0.0,0.0,0.0,0.0,0.0,1.0
184,0.0,0.0,0.0,0.0,0.0,0.0,1.0
185,0.0,0.0,0.0,0.0,0.0,0.0,1.0
186,0.0,0.0,0.0,0.0,0.0,0.0,1.0
187,0.0,0.0,0.0,0.0,0.0,0.0,1.0
188,0.0,0.0,0.0,0.0,0.0,0.0,1.0
189,0.0,0.0,0.0,0.0,0.0,0.0,1.0
190,0.0,0.0,0.0,0.0,0.0,0.0,1.0
191,0.0,0.0,0.0,0.0,0.0,0.0,1.0
192,0.0,0.0,0.0,0.0,0.0,0.0,1.0
193,0.0,0.0,0.0,0.0,0.0,0.0,1.0
194,0.0,0.0,0.0,0.0,0.0,0.0,1.0
195,0.0,0.0,0.0,0.0,0.0,0.0,1.0
196,0.0,0.0,0.0,0.0,0.0,0.0,1.0
197,0.0,0.0,0.0,0.0,0.0,0.0,1.0
198,0.0,0.0,0.0,0.0,0.0,0.0,1.0
199,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200,0.0,0.0,0.0,0.0,0.0,0.0,1.0
201,0.0,0.0,0.0,0.0,0.0,0.0,1.0
202,0.0,0.0,0.0,0.0,0.0,0.0,1.0
203,0.0,0.0,0.0,0.0,0.0,0.0,1.0
204,0.0,0.0,0.0,0.0,0.0,0.0,1.0
205,0.0,0.0,0.0,0.0,0.0,0.0,1.0
206,0.0,0.0,0.0,0.0,0.0,0.0,1.0
207,0.0,0.0,0.0,0.0,0.0,0.0,1.0
208,0.0,0.0,0.0,0.0,0.0,0.0,1.0
209,0.0,0.0,0.0,0.0,0.0,0.0,1.0
210,0.0,0.0,0.0,0.0,0.0,0.0,1.0
211,0.0,0.0,0.0,0.0,0.0,0.0,1.0
212,0.0,0.0,0.0,0.0,0.0,0.0,1.0
213,0.0,0.0,0.0,0.0,0.0,0.0,1.0
214,0.0,0.0,0.0,0.0,0.0,0.0,1.0
215,0.0,0.0,0.0,0.0,0.0,0.0,1.0
216,0.0,0.0,0.0,0.0,0.0,0.0,1.0
217,0.0,0.0,0.0,0.0,0.0,0.0,1.0
218,0.0,0.0,0.0,0.0,0.0,0.0,1.0
219,0.0,0.0,0.0,0.0,0.0,0.0,1.0
220,0.0,0.0,0.0,0.0,0.0,0.0,1.0
